clause_id,model,win_share
24,checkpoints/community-alignment/llama3.1-8b-hard-en,0.0885
24,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2035
24,meta-llama/Llama-3.1-8B,0.317
25,checkpoints/community-alignment/llama3.1-8b-full-global,0.203
25,checkpoints/community-alignment/llama3.1-8b-full-us,0.1805
25,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1195
25,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2315
25,meta-llama/Llama-3.1-8B,0.2655
26,checkpoints/community-alignment/llama3.1-8b-full-global,0.2505
26,checkpoints/community-alignment/llama3.1-8b-full-us,0.2285
26,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2825
26,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1675
26,meta-llama/Llama-3.1-8B,0.071
27,checkpoints/community-alignment/llama3.1-8b-full-global,0.2065
27,checkpoints/community-alignment/llama3.1-8b-full-us,0.201
27,checkpoints/community-alignment/llama3.1-8b-hard-en,0.27
27,checkpoints/community-alignment/llama3.1-8b-soft-en,0.185
27,meta-llama/Llama-3.1-8B,0.1375
28,checkpoints/community-alignment/llama3.1-8b-full-global,0.2265
28,checkpoints/community-alignment/llama3.1-8b-full-us,0.2305
28,checkpoints/community-alignment/llama3.1-8b-hard-en,0.3415
28,checkpoints/community-alignment/llama3.1-8b-soft-en,0.128
28,meta-llama/Llama-3.1-8B,0.0735
29,checkpoints/community-alignment/llama3.1-8b-full-global,0.1925
29,checkpoints/community-alignment/llama3.1-8b-full-us,0.217
29,checkpoints/community-alignment/llama3.1-8b-hard-en,0.205
29,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1835
29,meta-llama/Llama-3.1-8B,0.202
30,checkpoints/community-alignment/llama3.1-8b-full-global,0.203
30,checkpoints/community-alignment/llama3.1-8b-full-us,0.189
30,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1715
30,checkpoints/community-alignment/llama3.1-8b-soft-en,0.152
30,meta-llama/Llama-3.1-8B,0.2845
31,checkpoints/community-alignment/llama3.1-8b-full-global,0.166
31,checkpoints/community-alignment/llama3.1-8b-full-us,0.2325
31,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2805
31,checkpoints/community-alignment/llama3.1-8b-soft-en,0.182
31,meta-llama/Llama-3.1-8B,0.139
32,checkpoints/community-alignment/llama3.1-8b-full-global,0.2475
32,checkpoints/community-alignment/llama3.1-8b-full-us,0.2165
32,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1595
32,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1865
32,meta-llama/Llama-3.1-8B,0.19
33,checkpoints/community-alignment/llama3.1-8b-full-global,0.189
33,checkpoints/community-alignment/llama3.1-8b-full-us,0.238
33,checkpoints/community-alignment/llama3.1-8b-hard-en,0.277
33,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1645
33,meta-llama/Llama-3.1-8B,0.1315
34,checkpoints/community-alignment/llama3.1-8b-full-global,0.201
34,checkpoints/community-alignment/llama3.1-8b-full-us,0.288
34,checkpoints/community-alignment/llama3.1-8b-hard-en,0.274
34,checkpoints/community-alignment/llama3.1-8b-soft-en,0.156
34,meta-llama/Llama-3.1-8B,0.081
35,checkpoints/community-alignment/llama3.1-8b-full-global,0.165
35,checkpoints/community-alignment/llama3.1-8b-full-us,0.2275
35,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2835
35,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2
35,meta-llama/Llama-3.1-8B,0.124
36,checkpoints/community-alignment/llama3.1-8b-full-global,0.1885
36,checkpoints/community-alignment/llama3.1-8b-full-us,0.215
36,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2775
36,checkpoints/community-alignment/llama3.1-8b-soft-en,0.18
36,meta-llama/Llama-3.1-8B,0.139
37,checkpoints/community-alignment/llama3.1-8b-full-global,0.2085
37,checkpoints/community-alignment/llama3.1-8b-full-us,0.1875
37,checkpoints/community-alignment/llama3.1-8b-hard-en,0.302
37,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1635
37,meta-llama/Llama-3.1-8B,0.1385
38,checkpoints/community-alignment/llama3.1-8b-full-global,0.115
38,checkpoints/community-alignment/llama3.1-8b-full-us,0.209
38,checkpoints/community-alignment/llama3.1-8b-hard-en,0.277
38,checkpoints/community-alignment/llama3.1-8b-soft-en,0.22
38,meta-llama/Llama-3.1-8B,0.179
39,checkpoints/community-alignment/llama3.1-8b-full-global,0.2275
39,checkpoints/community-alignment/llama3.1-8b-full-us,0.2485
39,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2485
39,checkpoints/community-alignment/llama3.1-8b-soft-en,0.196
39,meta-llama/Llama-3.1-8B,0.0795
40,checkpoints/community-alignment/llama3.1-8b-full-global,0.237
40,checkpoints/community-alignment/llama3.1-8b-full-us,0.15
40,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1635
40,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1905
40,meta-llama/Llama-3.1-8B,0.259
41,checkpoints/community-alignment/llama3.1-8b-full-global,0.219
41,checkpoints/community-alignment/llama3.1-8b-full-us,0.148
41,checkpoints/community-alignment/llama3.1-8b-hard-en,0.177
41,checkpoints/community-alignment/llama3.1-8b-soft-en,0.161
41,meta-llama/Llama-3.1-8B,0.295
42,checkpoints/community-alignment/llama3.1-8b-full-global,0.205
42,checkpoints/community-alignment/llama3.1-8b-full-us,0.263
42,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2885
42,checkpoints/community-alignment/llama3.1-8b-soft-en,0.187
42,meta-llama/Llama-3.1-8B,0.0565
43,checkpoints/community-alignment/llama3.1-8b-full-global,0.2125
43,checkpoints/community-alignment/llama3.1-8b-full-us,0.2005
43,checkpoints/community-alignment/llama3.1-8b-hard-en,0.171
43,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1735
43,meta-llama/Llama-3.1-8B,0.2425
44,checkpoints/community-alignment/llama3.1-8b-full-global,0.1995
44,checkpoints/community-alignment/llama3.1-8b-full-us,0.239
44,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2215
44,checkpoints/community-alignment/llama3.1-8b-soft-en,0.217
44,meta-llama/Llama-3.1-8B,0.123
45,checkpoints/community-alignment/llama3.1-8b-full-global,0.175
45,checkpoints/community-alignment/llama3.1-8b-full-us,0.233
45,checkpoints/community-alignment/llama3.1-8b-hard-en,0.3355
45,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1795
45,meta-llama/Llama-3.1-8B,0.077
46,checkpoints/community-alignment/llama3.1-8b-full-global,0.204
46,checkpoints/community-alignment/llama3.1-8b-full-us,0.254
46,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2965
46,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1745
46,meta-llama/Llama-3.1-8B,0.071
47,checkpoints/community-alignment/llama3.1-8b-full-global,0.1805
47,checkpoints/community-alignment/llama3.1-8b-full-us,0.172
47,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1485
47,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2265
47,meta-llama/Llama-3.1-8B,0.2725
48,checkpoints/community-alignment/llama3.1-8b-full-global,0.2105
48,checkpoints/community-alignment/llama3.1-8b-full-us,0.235
48,checkpoints/community-alignment/llama3.1-8b-hard-en,0.33
48,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1645
48,meta-llama/Llama-3.1-8B,0.06
49,checkpoints/community-alignment/llama3.1-8b-full-global,0.2055
49,checkpoints/community-alignment/llama3.1-8b-full-us,0.2305
49,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2275
49,checkpoints/community-alignment/llama3.1-8b-soft-en,0.175
49,meta-llama/Llama-3.1-8B,0.1615
50,checkpoints/community-alignment/llama3.1-8b-full-global,0.2065
50,checkpoints/community-alignment/llama3.1-8b-full-us,0.197
50,checkpoints/community-alignment/llama3.1-8b-hard-en,0.25
50,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1495
50,meta-llama/Llama-3.1-8B,0.197
51,checkpoints/community-alignment/llama3.1-8b-full-global,0.239
51,checkpoints/community-alignment/llama3.1-8b-full-us,0.1905
51,checkpoints/community-alignment/llama3.1-8b-hard-en,0.118
51,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2015
51,meta-llama/Llama-3.1-8B,0.251
52,checkpoints/community-alignment/llama3.1-8b-full-global,0.1655
52,checkpoints/community-alignment/llama3.1-8b-full-us,0.239
52,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2925
52,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1795
52,meta-llama/Llama-3.1-8B,0.1235
53,checkpoints/community-alignment/llama3.1-8b-full-global,0.2365
53,checkpoints/community-alignment/llama3.1-8b-full-us,0.1845
53,checkpoints/community-alignment/llama3.1-8b-hard-en,0.191
53,checkpoints/community-alignment/llama3.1-8b-soft-en,0.197
53,meta-llama/Llama-3.1-8B,0.191
54,checkpoints/community-alignment/llama3.1-8b-full-global,0.201
54,checkpoints/community-alignment/llama3.1-8b-full-us,0.2275
54,checkpoints/community-alignment/llama3.1-8b-hard-en,0.203
54,checkpoints/community-alignment/llama3.1-8b-soft-en,0.165
54,meta-llama/Llama-3.1-8B,0.2035
55,checkpoints/community-alignment/llama3.1-8b-full-global,0.211
55,checkpoints/community-alignment/llama3.1-8b-full-us,0.204
55,checkpoints/community-alignment/llama3.1-8b-hard-en,0.242
55,checkpoints/community-alignment/llama3.1-8b-soft-en,0.161
55,meta-llama/Llama-3.1-8B,0.182
56,checkpoints/community-alignment/llama3.1-8b-full-global,0.181
56,checkpoints/community-alignment/llama3.1-8b-full-us,0.2305
56,checkpoints/community-alignment/llama3.1-8b-hard-en,0.262
56,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2215
56,meta-llama/Llama-3.1-8B,0.105
57,checkpoints/community-alignment/llama3.1-8b-full-global,0.209
57,checkpoints/community-alignment/llama3.1-8b-full-us,0.198
57,checkpoints/community-alignment/llama3.1-8b-hard-en,0.227
57,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1775
57,meta-llama/Llama-3.1-8B,0.1885
58,checkpoints/community-alignment/llama3.1-8b-full-global,0.2125
58,checkpoints/community-alignment/llama3.1-8b-full-us,0.177
58,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1275
58,checkpoints/community-alignment/llama3.1-8b-soft-en,0.204
58,meta-llama/Llama-3.1-8B,0.279
59,checkpoints/community-alignment/llama3.1-8b-full-global,0.2465
59,checkpoints/community-alignment/llama3.1-8b-full-us,0.1755
59,checkpoints/community-alignment/llama3.1-8b-hard-en,0.0785
59,checkpoints/community-alignment/llama3.1-8b-soft-en,0.207
59,meta-llama/Llama-3.1-8B,0.2925
60,checkpoints/community-alignment/llama3.1-8b-full-global,0.272
60,checkpoints/community-alignment/llama3.1-8b-full-us,0.1425
60,checkpoints/community-alignment/llama3.1-8b-hard-en,0.112
60,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1985
60,meta-llama/Llama-3.1-8B,0.275
61,checkpoints/community-alignment/llama3.1-8b-full-global,0.1575
61,checkpoints/community-alignment/llama3.1-8b-full-us,0.2265
61,checkpoints/community-alignment/llama3.1-8b-hard-en,0.316
61,checkpoints/community-alignment/llama3.1-8b-soft-en,0.21
61,meta-llama/Llama-3.1-8B,0.09
62,checkpoints/community-alignment/llama3.1-8b-full-global,0.199
62,checkpoints/community-alignment/llama3.1-8b-full-us,0.2565
62,checkpoints/community-alignment/llama3.1-8b-hard-en,0.275
62,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2315
62,meta-llama/Llama-3.1-8B,0.038
63,checkpoints/community-alignment/llama3.1-8b-full-global,0.1705
63,checkpoints/community-alignment/llama3.1-8b-full-us,0.198
63,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2635
63,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2535
63,meta-llama/Llama-3.1-8B,0.1145
64,checkpoints/community-alignment/llama3.1-8b-full-global,0.2395
64,checkpoints/community-alignment/llama3.1-8b-full-us,0.16
64,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1315
64,checkpoints/community-alignment/llama3.1-8b-soft-en,0.189
64,meta-llama/Llama-3.1-8B,0.28
65,checkpoints/community-alignment/llama3.1-8b-full-global,0.201
65,checkpoints/community-alignment/llama3.1-8b-full-us,0.1835
65,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1795
65,checkpoints/community-alignment/llama3.1-8b-soft-en,0.196
65,meta-llama/Llama-3.1-8B,0.24
66,checkpoints/community-alignment/llama3.1-8b-full-global,0.2295
66,checkpoints/community-alignment/llama3.1-8b-full-us,0.1775
66,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1535
66,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1945
66,meta-llama/Llama-3.1-8B,0.245
67,checkpoints/community-alignment/llama3.1-8b-full-global,0.1885
67,checkpoints/community-alignment/llama3.1-8b-full-us,0.2645
67,checkpoints/community-alignment/llama3.1-8b-hard-en,0.279
67,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1615
67,meta-llama/Llama-3.1-8B,0.1065
68,checkpoints/community-alignment/llama3.1-8b-full-global,0.2115
68,checkpoints/community-alignment/llama3.1-8b-full-us,0.151
68,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1695
68,checkpoints/community-alignment/llama3.1-8b-soft-en,0.201
68,meta-llama/Llama-3.1-8B,0.267
69,checkpoints/community-alignment/llama3.1-8b-full-global,0.28
69,checkpoints/community-alignment/llama3.1-8b-full-us,0.1535
69,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1005
69,checkpoints/community-alignment/llama3.1-8b-soft-en,0.182
69,meta-llama/Llama-3.1-8B,0.284
70,checkpoints/community-alignment/llama3.1-8b-full-global,0.152
70,checkpoints/community-alignment/llama3.1-8b-full-us,0.252
70,checkpoints/community-alignment/llama3.1-8b-hard-en,0.315
70,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1955
70,meta-llama/Llama-3.1-8B,0.0855
71,checkpoints/community-alignment/llama3.1-8b-full-global,0.213
71,checkpoints/community-alignment/llama3.1-8b-full-us,0.1845
71,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2325
71,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1775
71,meta-llama/Llama-3.1-8B,0.1925
72,checkpoints/community-alignment/llama3.1-8b-full-global,0.1425
72,checkpoints/community-alignment/llama3.1-8b-full-us,0.228
72,checkpoints/community-alignment/llama3.1-8b-hard-en,0.275
72,checkpoints/community-alignment/llama3.1-8b-soft-en,0.225
72,meta-llama/Llama-3.1-8B,0.1295
73,checkpoints/community-alignment/llama3.1-8b-full-global,0.2315
73,checkpoints/community-alignment/llama3.1-8b-full-us,0.134
73,checkpoints/community-alignment/llama3.1-8b-hard-en,0.212
73,checkpoints/community-alignment/llama3.1-8b-soft-en,0.18
73,meta-llama/Llama-3.1-8B,0.2425
74,checkpoints/community-alignment/llama3.1-8b-full-global,0.219
74,checkpoints/community-alignment/llama3.1-8b-full-us,0.203
74,checkpoints/community-alignment/llama3.1-8b-hard-en,0.165
74,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2175
74,meta-llama/Llama-3.1-8B,0.1955
75,checkpoints/community-alignment/llama3.1-8b-full-global,0.194
75,checkpoints/community-alignment/llama3.1-8b-full-us,0.18
75,checkpoints/community-alignment/llama3.1-8b-hard-en,0.233
75,checkpoints/community-alignment/llama3.1-8b-soft-en,0.211
75,meta-llama/Llama-3.1-8B,0.182
