question_id,clause_id,n_models,n_judges,mean_kendall_tau,min_kendall_tau,max_kendall_tau,top1_winner,top1_agreement,top1_margin
3:0,3,7,5,0.638095,0.333333,0.904762,meta-llama/Llama-3.2-1B,0.600000,0.400000
3:1,3,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
3:10,3,7,5,0.714286,0.428571,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
3:11,3,7,5,0.428571,0.142857,0.714286,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
3:12,3,7,5,0.866667,0.809524,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
3:13,3,7,5,0.790476,0.619048,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:14,3,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
3:15,3,7,5,0.771429,0.619048,0.904762,checkpoints/llama3.2-1b-full-prism,0.800000,0.600000
3:16,3,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:17,3,7,5,0.695238,0.428571,0.904762,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
3:18,3,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
3:19,3,7,5,0.638095,0.333333,0.809524,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:2,3,7,5,0.276190,-0.238095,0.809524,meta-llama/Llama-3.2-1B,0.800000,0.600000
3:20,3,7,5,0.600000,0.142857,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
3:21,3,7,5,0.466667,0.333333,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.400000,0.000000
3:22,3,7,5,0.676190,0.333333,0.904762,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
3:23,3,7,5,0.942857,0.904762,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:24,3,7,5,0.657143,0.428571,0.904762,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
3:25,3,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
3:26,3,7,5,0.352381,-0.333333,0.904762,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
3:27,3,7,5,0.600000,0.333333,0.904762,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
3:28,3,7,5,0.942857,0.904762,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
3:29,3,7,5,0.809524,0.523810,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
3:3,3,7,5,0.600000,0.333333,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:30,3,7,5,0.561905,0.238095,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
3:31,3,7,5,0.733333,0.428571,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:32,3,7,5,0.733333,0.428571,0.904762,checkpoints/llama3.2-1b-full-prism,0.600000,0.200000
3:33,3,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
3:34,3,7,5,0.561905,0.238095,0.809524,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
3:35,3,7,5,0.866667,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
3:36,3,7,5,0.733333,0.523810,0.904762,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
3:37,3,7,5,0.695238,0.333333,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
3:38,3,7,5,0.600000,0.238095,0.904762,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
3:39,3,7,5,0.923810,0.809524,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
3:4,3,7,5,0.352381,0.047619,0.714286,meta-llama/Llama-3.2-1B,0.800000,0.600000
3:5,3,7,5,0.600000,0.333333,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
3:6,3,7,5,0.961905,0.904762,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
3:7,3,7,5,0.733333,0.619048,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
3:8,3,7,5,0.847619,0.619048,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
3:9,3,7,5,0.885714,0.809524,1.000000,checkpoints/llama3.2-1b-full-prism,0.600000,0.200000
4:0,4,7,5,0.447619,0.238095,1.000000,checkpoints/llama3.2-1b-hard-panel,0.400000,0.200000
4:1,4,7,5,0.371429,-0.142857,0.904762,meta-llama/Llama-3.2-1B,0.800000,0.600000
4:10,4,7,5,0.714286,0.428571,0.904762,meta-llama/Llama-3.2-1B,0.800000,0.600000
4:11,4,7,5,1.000000,1.000000,1.000000,checkpoints/llama3.2-1b-full-prism,1.000000,1.000000
4:12,4,7,5,0.523810,0.047619,0.904762,checkpoints/llama3.2-1b-full-prism,0.600000,0.400000
4:13,4,7,5,0.085714,-0.904762,0.809524,meta-llama/Llama-3.2-1B,0.600000,0.400000
4:14,4,7,5,0.828571,0.714286,0.904762,checkpoints/llama3.2-1b-adversary-soft,1.000000,1.000000
4:15,4,7,5,0.676190,0.523810,0.904762,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
4:16,4,7,5,0.561905,0.142857,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
4:17,4,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
4:18,4,7,5,0.428571,0.142857,0.714286,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
4:19,4,7,5,0.047619,-0.714286,0.904762,checkpoints/llama3.2-1b-us-rep,0.600000,0.400000
4:2,4,7,5,0.752381,0.523810,0.904762,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
4:20,4,7,5,0.885714,0.809524,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
4:21,4,7,5,0.828571,0.619048,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.800000,0.600000
4:22,4,7,5,0.866667,0.809524,1.000000,checkpoints/llama3.2-1b-full-prism,0.800000,0.600000
4:23,4,7,5,0.676190,0.238095,1.000000,checkpoints/llama3.2-1b-soft-panel,0.800000,0.600000
4:24,4,7,5,0.714286,0.333333,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
4:25,4,7,5,0.885714,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-soft,1.000000,1.000000
4:26,4,7,5,0.885714,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
4:27,4,7,5,0.828571,0.714286,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
4:28,4,7,5,0.790476,0.619048,1.000000,meta-llama/Llama-3.2-1B,0.800000,0.600000
4:29,4,7,5,0.542857,0.238095,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.400000,0.000000
4:3,4,7,5,0.352381,-0.142857,0.809524,meta-llama/Llama-3.2-1B,1.000000,1.000000
4:30,4,7,5,0.790476,0.619048,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
4:31,4,7,5,0.200000,-0.333333,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.400000,0.000000
4:32,4,7,5,0.752381,0.523810,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
4:33,4,7,5,0.676190,0.523810,0.904762,checkpoints/llama3.2-1b-soft-panel,0.400000,0.000000
4:34,4,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
4:35,4,7,5,0.733333,0.523810,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
4:36,4,7,5,0.866667,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
4:37,4,7,5,0.809524,0.619048,1.000000,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
4:38,4,7,5,0.371429,-0.238095,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
4:39,4,7,5,0.961905,0.904762,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
4:4,4,7,5,0.580952,0.238095,1.000000,checkpoints/llama3.2-1b-full-prism,0.600000,0.400000
4:5,4,7,5,0.676190,0.428571,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
4:6,4,7,5,0.885714,0.714286,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
4:7,4,7,5,0.257143,-0.809524,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
4:8,4,7,5,0.733333,0.428571,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
4:9,4,7,5,0.600000,0.333333,0.904762,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
5:0,5,7,5,0.828571,0.619048,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
5:1,5,7,5,0.257143,-0.428571,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
5:10,5,7,5,0.828571,0.714286,0.904762,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
5:11,5,7,5,0.942857,0.904762,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
5:12,5,7,5,0.790476,0.619048,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
5:13,5,7,5,0.619048,0.333333,0.809524,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
5:14,5,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
5:15,5,7,5,0.866667,0.714286,1.000000,checkpoints/llama3.2-1b-full-prism,0.600000,0.200000
5:16,5,7,5,0.885714,0.809524,1.000000,checkpoints/llama3.2-1b-full-prism,1.000000,1.000000
5:17,5,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
5:18,5,7,5,0.809524,0.714286,1.000000,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
5:19,5,7,5,0.923810,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.800000,0.600000
5:2,5,7,5,0.580952,0.238095,0.904762,checkpoints/llama3.2-1b-full-prism,0.600000,0.200000
5:20,5,7,5,0.866667,0.714286,1.000000,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
5:21,5,7,5,0.600000,0.238095,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
5:22,5,7,5,0.752381,0.523810,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
5:23,5,7,5,0.676190,0.523810,0.904762,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
5:24,5,7,5,0.790476,0.619048,1.000000,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
5:25,5,7,5,0.752381,0.619048,0.904762,checkpoints/llama3.2-1b-soft-panel,0.600000,0.200000
5:26,5,7,5,0.485714,-0.047619,0.809524,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
5:27,5,7,5,0.714286,0.428571,1.000000,checkpoints/llama3.2-1b-soft-panel,0.800000,0.600000
5:28,5,7,5,0.676190,0.333333,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
5:29,5,7,5,0.561905,0.238095,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
5:3,5,7,5,0.485714,-0.142857,1.000000,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
5:30,5,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-soft-panel,0.800000,0.600000
5:31,5,7,5,0.809524,0.619048,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
5:32,5,7,5,0.923810,0.809524,1.000000,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
5:33,5,7,5,0.885714,0.714286,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
5:34,5,7,5,0.733333,0.619048,0.904762,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
5:35,5,7,5,0.771429,0.523810,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
5:36,5,7,5,0.466667,0.238095,0.714286,checkpoints/llama3.2-1b-full-prism,1.000000,1.000000
5:37,5,7,5,0.752381,0.619048,1.000000,checkpoints/llama3.2-1b-adversary-soft,1.000000,1.000000
5:38,5,7,5,0.504762,0.238095,0.809524,checkpoints/llama3.2-1b-full-prism,0.400000,0.200000
5:39,5,7,5,0.866667,0.714286,1.000000,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
5:4,5,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.800000,0.600000
5:5,5,7,5,0.790476,0.523810,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
5:6,5,7,5,0.352381,-0.047619,0.809524,checkpoints/llama3.2-1b-adversary-hard,0.400000,0.000000
5:7,5,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
5:8,5,7,5,0.885714,0.714286,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
5:9,5,7,5,0.485714,0.142857,0.714286,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
6:0,6,7,5,0.657143,0.428571,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.600000,0.400000
6:1,6,7,5,0.047619,-0.523810,0.904762,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
6:10,6,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:11,6,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
6:12,6,7,5,0.885714,0.714286,1.000000,checkpoints/llama3.2-1b-soft-panel,0.800000,0.600000
6:13,6,7,5,0.752381,0.523810,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
6:14,6,7,5,0.733333,0.619048,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
6:15,6,7,5,0.047619,-0.619048,0.619048,checkpoints/llama3.2-1b-soft-panel,0.400000,0.000000
6:16,6,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-full-prism,0.800000,0.600000
6:17,6,7,5,0.828571,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
6:18,6,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
6:19,6,7,5,0.619048,0.238095,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
6:2,6,7,5,0.523810,0.047619,0.809524,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:20,6,7,5,0.714286,0.523810,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:21,6,7,5,0.638095,0.333333,0.904762,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
6:22,6,7,5,0.619048,0.333333,0.904762,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
6:23,6,7,5,0.371429,-0.142857,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
6:24,6,7,5,0.485714,0.238095,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
6:25,6,7,5,0.809524,0.619048,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:26,6,7,5,0.657143,0.523810,0.714286,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:27,6,7,5,0.790476,0.523810,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
6:28,6,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.600000,0.200000
6:29,6,7,5,0.809524,0.714286,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:3,6,7,5,0.714286,0.523810,0.904762,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
6:30,6,7,5,0.733333,0.619048,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:31,6,7,5,0.942857,0.904762,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
6:32,6,7,5,0.600000,0.142857,0.904762,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
6:33,6,7,5,0.619048,0.333333,0.809524,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:34,6,7,5,0.523810,0.238095,0.904762,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
6:35,6,7,5,0.600000,0.428571,0.809524,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
6:36,6,7,5,0.771429,0.619048,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
6:37,6,7,5,0.390476,0.142857,0.809524,checkpoints/llama3.2-1b-full-prism,1.000000,1.000000
6:38,6,7,5,0.885714,0.714286,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:39,6,7,5,0.542857,-0.047619,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.600000,0.400000
6:4,6,7,5,0.580952,0.333333,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:5,6,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
6:6,6,7,5,0.771429,0.619048,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
6:7,6,7,5,0.466667,0.047619,0.809524,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
6:8,6,7,5,0.180952,-0.333333,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
6:9,6,7,5,0.885714,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
7:0,7,7,5,0.790476,0.619048,0.904762,meta-llama/Llama-3.2-1B,0.800000,0.600000
7:1,7,7,5,0.657143,0.333333,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.400000,0.000000
7:10,7,7,5,0.828571,0.714286,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
7:11,7,7,5,0.580952,0.142857,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
7:12,7,7,5,0.619048,0.333333,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
7:13,7,7,5,0.390476,-0.238095,0.809524,checkpoints/llama3.2-1b-adversary-hard,0.400000,0.000000
7:14,7,7,5,0.771429,0.619048,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
7:15,7,7,5,0.809524,0.619048,1.000000,checkpoints/llama3.2-1b-soft-panel,0.600000,0.400000
7:16,7,7,5,0.676190,0.238095,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
7:17,7,7,5,0.580952,0.333333,0.809524,meta-llama/Llama-3.2-1B,1.000000,1.000000
